225,Ara,C.T.,20,Jharkhand,4,Hazaribag
226,Arachalur,T.P.,33,Tamil Nadu,10,Erode
227,Arakandanallur,T.P.,33,Tamil Nadu,7,Viluppuram
228,Arakonam,M,33,Tamil Nadu,4,Vellore
229,Aralvaimozhi,T.P.,33,Tamil Nadu,30,Kanniyakumari
230,Arambag,M,19,West Bengal,12,Hugli 
231,Arang,N.P.,22,Chhattisgarh,11,Raipur
232,Arani,T.P,33,Tamil Nadu,1,Thiruvallur
233,Arani,M,33,Tamil Nadu,6,Tiruvanamalai
234,Aranthangi,M,33,Tamil Nadu,22,Pudukkottai
235,Araria,M,10,Bihar,7,Araria
236,Arasiramani,T.P.,33,Tamil Nadu,8,Salem
237,Aravakurichi,T.P.,33,Tamil Nadu,14,Kapur
238,Aravankad,T.S.,33,Tamil Nadu,11,The Nilgiris
239,Arcot,M,33,Tamil Nadu,4,Vellore
240,Areraj,N.A.,10,Bihar,2,Purba Champaran
241,Argari,C.T.,19,West Bengal,16,Haora 
242,Arimalam,T.P.,33,Tamil Nadu,22,Pudukkottai
243,Ariyalur,T.P.,33,Tamil Nadu,17,Ariyalur
244,Ariyappampalayam,T.P.,33,Tamil Nadu,10,Erode
245,Ariyur,C.T.,33,Tamil Nadu,4,Vellore
246,Arkalgud,T.P.,29,Karnataka,23,Hassan
247,Arki,N.P.,2,Himachal Pradesh,9,Solan
248,Armapur Estate,C.T.,9,Uttar Pradesh,34,Kanpur Nagar
249,Arnia,N.A.C.,1,Jammu & Kashmir,13,Jammu
250,Aron,N.P.,23,Madhya Pradesh,7,Guna
251,Arookutty,C.T.,32,Kerala,11,Alappuzha
252,Aroor,C.T.,32,Kerala,11,Alappuzha
253,Arra,C.T.,19,West Bengal,14,Puruliya
254,Arrah,M,10,Bihar,29,Bhojpur
255,Arsikere,T.M.C,29,Karnataka,23,Hassan
256,Arumanai,T.P.,33,Tamil Nadu,30,Kanniyakumari
257,Arumbavur,T.P.,33,Tamil Nadu,16,Perambalur
258,Arumuganeri,T.P.,33,Tamil Nadu,28,Toothukudi
259,Aruppukkottai,M,33,Tamil Nadu,26,Virudhunagar
260,Arvi,M.Cl.,27,Maharashtra,8,Wardha
261,Asan  Khurd,C.T.,6,Haryana,7,Panipat
262,Asansol,M.Corp.,19,West Bengal,9,Barddhaman 
263,Asarganj,C.T.,10,Bihar,24,Munger
264,Ashok Nagar,M,23,Madhya Pradesh,7,Guna
265,Ashokapuram,C.T.,33,Tamil Nadu,12,Coimbatore
266,Ashoknagar Kalyangarh,M,19,West Bengal,11,North Twentyfour Parganas
267,Ashrafpur Kichhauchha,N.P.,9,Uttar Pradesh,48,Ambedaker Nagar
268,Ashta,M,23,Madhya Pradesh,33,Sehore
269,Ashta,M.Cl.,27,Maharashtra,35,Sangli
270,Asifabad,C.T.,28,Andhra Pradesh,1,Adilabad
271,Asika,N.A.C.,21,Orissa,19,Ganjam
272,Asind,M,8,Rajasthan,24,Bhilwara
273,Asola,C.T.,7,Delhi *,9,South
274,Assandh,M.C.,6,Haryana,6,Karnal
275,Atarra,M.B.,9,Uttar Pradesh,40,Banda
276,Atasu,N.P.,9,Uttar Pradesh,32,Auraiya
277,Ateli,M.C,6,Haryana,16,Mahendragarh
278,Athagad,N.A.C.,21,Orissa,12,Cuttack
279,Athani,T.P.,33,Tamil Nadu,10,Erode
280,Athanur,T.P.,33,Tamil Nadu,9,Namakkal
281,Athimarapatti,T.P.,33,Tamil Nadu,28,Toothukudi
282,Athipattu,C.T.,33,Tamil Nadu,1,Thiruvallur
